,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,policy_iteration
0,71.904441010952,295127,143,1575,773,7.799999999999995,12.024752475247514,11.199999999999987,2,4
0,72.81572996377945,298343,144,3216,1584,8.999999999999984,12.002970297029693,11.199999999999985,0,4
0,73.32572949330012,300260,145,1917,957,8.999999999999993,12.000990099009892,11.199999999999985,2,4
0,73.71760758558909,301869,146,1609,793,9.899999999999993,11.959405940594047,11.099999999999985,2,4
0,74.07118682861328,303337,147,1468,722,7.899999999999998,11.889108910891082,10.79999999999999,2,4
0,74.54523173173268,305142,148,1805,892,8.69999999999999,11.878217821782169,10.79999999999999,0,4
0,74.9886553923289,306979,149,1837,913,9.999999999999993,11.848514851485142,10.799999999999986,2,4
0,75.54841000239054,309050,150,2071,1032,16.39999999999997,11.917821782178208,10.79999999999999,2,4
0,76.46348679065704,312649,151,3599,1762,16.999999999999968,11.9089108910891,10.79999999999999,1,5
0,76.74312843879063,313816,152,1167,579,7.999999999999998,11.837623762376229,10.799999999999986,2,5
0,77.05048267046611,315048,153,1232,613,8.499999999999998,11.63168316831682,10.699999999999989,2,5
0,77.44121303955714,316657,154,1609,794,9.799999999999995,11.60297029702969,10.699999999999983,2,5
0,77.96602117617925,318483,155,1826,912,13.099999999999982,11.679207920792066,10.699999999999989,2,5
0,78.33182824055353,320004,156,1521,755,9.699999999999994,11.696039603960385,10.699999999999989,2,5
0,78.75064595540364,321733,157,1729,856,10.799999999999988,11.709900990098998,10.799999999999986,2,5
0,79.13209710121154,323314,158,1581,784,8.299999999999997,11.718811881188106,10.799999999999986,2,5
0,79.55778224468231,325066,159,1752,879,9.899999999999997,11.717821782178207,10.799999999999986,2,5
0,79.99037721554438,326764,160,1698,844,11.699999999999987,11.745544554455437,10.799999999999988,2,5
0,80.32501936753592,327958,161,1194,589,7.599999999999995,11.737623762376227,10.799999999999988,2,5
0,80.78595932722092,329825,162,1867,930,12.099999999999985,11.743564356435632,10.799999999999988,2,5
0,81.39839049975078,332390,163,2565,1278,12.399999999999986,11.731683168316822,10.799999999999988,2,5
0,81.99733029603958,334562,164,2172,1089,4.999999999999998,11.677227722772267,10.799999999999988,0,5
0,82.8092449148496,338161,165,3599,1381,12.299999999999978,11.693069306930681,10.79999999999999,1,5
0,83.25573360522588,339955,166,1794,888,13.199999999999982,11.745544554455433,11.099999999999985,2,5
0,83.87791345914205,342284,167,2329,1117,4.200000000000001,11.726732673267316,11.099999999999985,0,5
0,84.28760783672332,343946,168,1662,820,9.099999999999998,11.695049504950482,10.79999999999999,2,5
0,84.64984556833903,345362,169,1416,703,9.999999999999995,11.692079207920782,10.79999999999999,2,5
0,85.42589431206385,348337,170,2975,1513,12.79999999999997,11.704950495049491,10.79999999999999,0,5
0,85.83013083140055,350003,171,1666,820,8.799999999999997,11.694059405940582,10.79999999999999,2,5
0,86.38213306268057,352286,172,2283,1139,17.59999999999997,11.76138613861385,11.099999999999985,2,5
0,86.91276553471883,354547,173,2261,1130,12.999999999999975,11.794059405940583,11.199999999999985,2,5
0,87.88327997525533,358146,174,3599,1755,22.1,11.905940594059393,11.199999999999987,1,5
0,88.4113207101822,360069,175,1923,949,13.699999999999978,11.943564356435632,11.199999999999987,2,5
0,89.4674919684728,363668,176,3599,1742,20.40000000000001,12.070297029702958,11.499999999999986,1,5
0,89.96888392368952,365438,177,1770,875,10.299999999999988,12.085148514851475,11.499999999999986,2,5
0,90.4479963739713,367225,178,1787,893,8.799999999999994,12.069306930693058,11.499999999999986,2,5
0,91.35460612376531,370824,179,3599,1749,20.200000000000003,12.12970297029702,11.499999999999986,1,5
0,91.75631798505783,372473,180,1649,816,9.399999999999997,12.183168316831672,11.499999999999986,2,5
0,92.10435475508372,373880,181,1407,694,9.899999999999995,12.122772277227712,11.199999999999987,2,6
0,92.58461855649948,375938,182,2058,1033,11.899999999999988,12.15742574257425,11.499999999999986,2,6
0,93.1186548948288,378046,183,2108,1029,6.399999999999995,11.946534653465338,11.199999999999987,0,6
0,94.0993265748024,381645,184,3599,1791,19.1,11.874257425742565,11.199999999999987,1,6
0,94.7677813967069,384023,185,2378,1191,4.699999999999999,11.785148514851477,11.199999999999987,0,6
0,95.26756407817204,385782,186,1759,867,8.099999999999996,11.709900990099,11.199999999999985,2,6
0,95.72474321921666,387559,187,1777,875,9.499999999999996,11.707920792079195,11.199999999999985,2,6
0,96.21339288949966,389297,188,1738,853,11.899999999999983,11.746534653465334,11.199999999999987,2,6
0,96.79050923983256,391453,189,2156,1032,5.399999999999998,11.686138613861374,11.199999999999985,0,6
0,97.41901902755102,393667,190,2214,1105,15.29999999999997,11.768316831683157,11.199999999999987,2,6
0,97.91433029174804,395707,191,2040,665,3.400000000000001,11.667326732673256,11.199999999999985,2,6
0,98.47334894736608,397814,192,2107,1008,4.200000000000001,11.582178217821772,11.099999999999985,0,6
0,98.99800945917765,399864,193,2050,1019,4.6,11.524752475247514,11.099999999999985,0,6
0,99.44371296167374,401636,194,1772,880,11.499999999999988,11.48019801980197,11.099999999999985,2,6
0,99.89384081761042,403466,195,1830,908,11.299999999999985,11.426732673267317,11.099999999999985,2,6
0,100.26730248530706,404952,196,1486,731,8.399999999999999,11.417821782178207,11.099999999999985,2,6
0,100.87668597698212,407050,197,2098,1039,13.999999999999977,11.425742574257415,11.099999999999985,2,6
0,101.2515704870224,408392,198,1342,653,8.199999999999994,11.396039603960388,10.799999999999988,2,6
0,102.01553361813227,411303,199,2911,1461,10.899999999999979,11.398019801980189,10.899999999999979,0,6
0,102.27985969384511,412298,200,995,535,8.399999999999997,11.261386138613853,10.799999999999988,2,6
0,102.74356458981832,414224,201,1926,957,10.79999999999999,11.210891089108902,10.799999999999988,2,6
0,103.28880799214045,416265,202,2041,994,5.399999999999998,11.153465346534645,10.299999999999988,0,6
0,103.53932695786158,417209,203,944,497,7.9999999999999964,11.136633663366327,10.299999999999988,2,6
0,103.89450391928355,418638,204,1429,717,11.099999999999987,11.157425742574247,10.799999999999988,2,6
0,104.1927830139796,419835,205,1197,596,8.399999999999995,11.125742574257416,10.299999999999988,2,6
0,104.62060392697653,421605,206,1770,872,10.599999999999987,11.157425742574246,10.599999999999987,2,6
0,105.61210163831711,425204,207,3599,1339,21.20000000000001,11.246534653465336,10.599999999999987,1,6
0,106.35881443023682,428293,208,3089,1450,13.999999999999973,11.288118811881176,10.799999999999988,2,6
0,106.85783768494925,430139,209,1846,923,10.799999999999988,11.333663366336623,10.799999999999988,2,6
0,107.55095521211624,433041,210,2902,1402,14.29999999999998,11.321782178217811,10.799999999999988,2,6
0,107.9637801806132,434771,211,1730,864,9.799999999999994,11.264356435643554,10.799999999999988,2,7
0,108.37478268543879,436424,212,1653,813,9.899999999999993,11.245544554455437,10.599999999999987,2,7
0,108.69377227624257,437560,213,1136,572,7.299999999999996,11.175247524752464,10.299999999999988,2,7
0,109.23099665641784,439469,214,1909,954,10.599999999999989,11.204950495049491,10.599999999999987,2,7
0,109.77675116459528,441611,215,2142,1076,10.09999999999999,11.2108910891089,10.599999999999987,2,7
0,110.25457584460577,443585,216,1974,983,12.299999999999981,11.231683168316819,10.599999999999989,2,7
0,110.68021346728007,445224,217,1639,812,10.599999999999993,11.16534653465345,10.599999999999989,2,7
0,111.44551349480948,448198,218,2974,1492,7.499999999999989,11.092079207920778,10.599999999999987,0,7
0,111.73740884860356,449345,219,1147,573,7.299999999999999,11.090099009900976,10.599999999999987,2,7
0,112.46025700171789,452142,220,2797,1381,13.599999999999971,11.10495049504949,10.599999999999987,0,7
0,113.27949446837107,454890,221,2748,1303,8.799999999999986,11.049504950495036,10.299999999999988,0,7
0,113.93436122337977,457272,222,2382,1194,13.499999999999979,11.07326732673266,10.299999999999988,2,7
0,114.35625160535177,459053,223,1781,885,9.899999999999995,11.017821782178206,10.099999999999994,2,7
0,114.72620188395182,460530,224,1477,69,0.0,10.898019801980187,10.09999999999999,0,7
0,115.20670385758082,462367,225,1837,918,10.099999999999989,10.863366336633655,10.099999999999989,2,7
0,115.58979548215866,463915,226,1548,767,8.899999999999999,10.908910891089102,10.099999999999989,2,7
0,116.22119846741359,466242,227,2327,1155,15.299999999999972,10.914851485148505,10.099999999999989,2,7
